"NumTag","L1","L2","L3","L4","L5","L6","L7","L8","ValueType","Multiplicity","ValueList","Editable","Searchable","DefaultValue","Expert","Notes"
"0002, 0001","Type",,,,,,,,"tag",1,,"n","n",,,
"0002, 0002",,"StudyDate",,,,,,,"date",1,,"n","n",,"Taddei",
"0002, 0003",,"Modality",,,,,,,"string",1,,"n","y",,"Taddei",
"0002, 0004",,"Manufacturer",,,,,,,"string",1,,"n","n",,"Taddei",
"0002, 0005",,"InstitutionName",,,,,,,"string",1,,"n","y",,"Taddei",
"0002, 0006",,"StationName",,,,,,,"string",1,,"n","y",,"Taddei",
"0002, 0007",,"ManufacturerModelName",,,,,,,"string",1,,"n","n",,"Taddei",
"0002, 0008",,"PatientID",,,,,,,"string",1,,"n","y",,"Taddei",
"0002, 0009",,"PatientSex",,,,,,,"string",1,,"n","y",,"Taddei",
"0002, 0010",,"ScanOptions",,,,,,,"string",1,,"n","y",,"Taddei",
"0002, 0011",,"KVP",,,,,,,"real",1,,"n","y",,"Taddei",
"0002, 0012",,"DataCollectionDiameter",,,,,,,"real",1,,"n","y",,"Taddei",
"0002, 0013",,"ReconstructionDiameter",,,,,,,"real",1,,"n","y",,"Taddei",
"0002, 0014",,"DistanceSourceToDetector",,,,,,,"real",1,,"n","y",,"Taddei",
"0002, 0015",,"DistanceSourceToPatient",,,,,,,"real",1,,"n","y",,"Taddei",
"0002, 0016",,"GantryDetectorTilt",,,,,,,"real",1,,"n","y",,"Taddei",
"0002, 0017",,"TableHeight",,,,,,,"real",1,,"n","y",,"Taddei",
"0002, 0018",,"RotationDirection",,,,,,,"string",1,,"n","y",,"Taddei",
"0002, 0019",,"ExposureTime",,,,,,,"integer",1,,"n","y",,"Taddei",
"0002, 0020",,"XRayTubeCurrent",,,,,,,"integer",1,,"n","y",,"Taddei",
"0002, 0021",,"Exposure",,,,,,,"integer",1,,"n","y",,"Taddei",
"0002, 0022",,"FilterType",,,,,,,"string",1,,"n","y",,"Taddei",
"0002, 0023",,"FocalSpot",,,,,,,"real",1,,"n","y",,"Taddei",
"0002, 0024",,"ConvolutionKernel",,,,,,,"string",1,,"n","y",,"Taddei",
"0002, 0025",,"PatientPosition",,,,,,,"string",1,,"n","n",,"Taddei",
"0002, 0026",,"StudyID",,,,,,,"string",1,,"n","n",,"Taddei",
"0002, 0027",,"ImagePositionPatient",,,,,,,"real",3,,"n","n",,"Taddei",
"0002, 0028",,"PixelSpacing",,,,,,,"real",2,,"n","y",,"Taddei",
"0002, 0029",,"PixelPaddingValue",,,,,,,"integer",1,,"n","n",,"Taddei",
"0002, 0030",,"WindowCenter",,,,,,,"real",1,,"n","y",,"Taddei",
"0002, 0031",,"WindowWidth",,,,,,,"real",1,,"n","y",,"Taddei",
"0002, 0032",,"RescaleIntercept",,,,,,,"real",1,,"n","n",,"Taddei",
"0002, 0033",,"RescaleSlope",,,,,,,"real",1,,"n","n",,"Taddei",
