"NumTag","L1","L2","L3","L4","L5","L6","L7","L8","ValueType","Multiplicity","ValueList","Editable","Searchable","DefaultValue","Expert","Notes"
"0000, 0001","resource",,,,,,,,"tag",1,,"n","n",,"Viceconti","Root concept; everything stored on LHDL is a resource"
"0000, 0002",,"data",,,,,,,"tag",1,,"n","n",,"Viceconti","All resources stored on LHDL are data except for special cases"
"0000, 0003",,,"Type",,,,,,"tag",1,,"n","n",,"Viceconti","All data are fields sampled over a geometry of given topology"
"0000, 0004",,,,"Field",,,,,"list",5,"None, Scalar, Vector, Tensor, n-scalar","n","y",,"Testi","Dimensionality of the field"
"0000, 0005",,,,"Dimension",,,,,"list",4,"Point, Curve, Surface, Volume","n","y",,"Testi","Dimensionality of sampling geometry"
"0000, 0006",,,,"VolumeType",,,,,"list",4,"Cartesian, Structured, Unstructured, B-Rep","n","y",,"Testi","Topology of the sampling geometry"
"0000, 0007",,,"Tracebility",,,,,,"tag",1,,"n","n",,"Viceconti","Info to trace the history of creation and modifications of the dataset"
"0000, 0008",,,,"CreateEvent",,,,,"tag",1,,"n","n",,"Viceconti","Info on the creation of the dataset"
"0000, 0009",,,,,"Operation",,,,"string",1,,"n","n",,"Testi","Name of the OpCreate or OpImport"
"0000, 0010",,,,,"CreationDate",,,,"date",1,,"n","n",,"Testi","Creation date"
"0000, 0011",,,,,"Application",,,,"string",1,,"n","n",,"Testi","MAF application stamp & version"
"0000, 0012",,,,,"OperatorID",,,,"integer",1,,"n","n",,"Testi","BT ID of the operator"
"0000, 0013",,,,,"IsNatural",,,,"bool",1,,"n","n",,"Testi","True indicate a vme that cannot be modified"
"0000, 0014",,,,"ModifyEvent1",,,,,"tag","n",,"n","n",,"Viceconti","Info on the modifications of the dataset"
"0000, 0015",,,,,"Operation",,,,"string",1,,"n","n",,"Testi","Name of the operation that modified the VME"
"0000, 0016",,,,,"ModifyDate",,,,"date",1,,"n","n",,"Testi","Modification date"
"0000, 0017",,,,,"Application",,,,"string",1,,"n","n",,"Testi","MAF application stamp & version"
"0000, 0018",,,,,"OperatorID",,,,"integer",1,,"n","n",,"Testi","BT ID of the operator"
"0000, 0019",,,"Size",,,,,,"tag",1,,"n","n",,"Viceconti","Info on the size of the dataset"
"0000, 0020",,,,"DatasetSize",,,,,"integer",1,,"n","y",,"Testi","size in byte of the dataset as serialised in the local file system"
"0000, 0021",,,,"EntityCount",,,,,"integer",1,,"n","n",,"Testi","number of vtk primitives (points, faces, or cells) in the VME"
"0000, 0022",,,,"TimeFramesCount",,,,,"integer",1,,"n","n",,"Testi","number of time frames in the vme"
"0000, 0023",,,"Dataset",,,,,,"tag",1,,"n","n",,"Viceconti","Info on the dataset digital representation"
"0000, 0024",,,,"DatasetURI",,,,,"URI",1,,"n","n",,"Quadrani","URI of the stored data object"
"0000, 0025",,,,"FileSize",,,,,"integer",1,,"n","n",,"Quadrani","size of the stored data object; check is significantly different from DatasetSize"
"0000, 0026",,,,"UploadDate",,,,,"date",1,,"n","n",,"Quadrani","Date of upload of the dataset, creation date of the stored data object"
"0000, 0027",,,,"FileType",,,,,"tag",1,,"n","n",,"Quadrani","Info on the digital format of the stored data object"
"0000, 0028",,,,,"FileFormat",,,,"list",1,"MAF2","n","n",,"Quadrani","support for dataset stored in formats different from the MSF format"
"0000, 0029",,,,,"Endianity",,,,"list",2,"little, big","n","n",,"Quadrani","Endianity of the binary encoding"
"0000, 0030",,,,,"Encryption",,,,"bool",1,,"n","n",,"Quadrani","true indicate the dataset is encrypted with a private key"
"0000, 0031",,,"TimeSpace",,,,,,"tag",1,,"n","n",,"Testi","Info on the pose matrix of the VME"
"0000, 0032",,,,"VMEabsoluteMatrixPose",,,,,"string",1,,"n","n",,"Testi","Elements of the VME absolute matrix pose in row order"
"0000, 0033",,,,"TimeStampVector",,,,,"string",1,,"n","n",,"Testi","VME time stamp vector;  check their number is equal to TimeFramesCount"
"0000, 0034",,,"TreeInfo",,,,,,"tag",1,,"n","n",,"Viceconti","Info on the VmeTree in which the VME was placed"
