"NumTag","L1","L2","L3","L4","L5","L6","ValueType","Multiplicity","ValueList","Editable","Searchable","DefaultValue","Expert","Notes"
"0003, 0001",,,"Type",,,,"tag",1,,"n","n",,"Leardini",
"0003, 0002",,,,"Landmark",,,"tag",1,,"n","n",,"Leardini",
"0003, 0003",,,,,"is Landmark",,"bool",1,,"y","y",,"Leardini","True indicate the data was Landmark"
"0003, 0004",,,,,,"Sampling Frequency","real",1,,"y","n",,"Leardini",
"0003, 0005",,,,,,"Number Of Landmarks","integer",1,,"y","n",,"Leardini",
"0003, 0006",,,,,,"Motor Task","list",8,"static, level walking, stair raising/descending, stair raising, stair descending, chair (sit-to-stand), step, squatting","y","y",,"Leardini",
"0003, 0007",,,,,,"Side","list",3,"left, right, both","y","y",,"Leardini",
"0003, 0008",,,,,,"Gait Protocol","string",1,,"y","n",,"Leardini","i.e. SAFLo / PIG / CAST / Total3D gait / 3DFoot gait"
"0003, 0009",,,,,,"Analyzed with the protocol","bool",1,,"y","n",,"Leardini","True indicate the data was analyzed with the protocol"
"0003, 0010",,,,"Analog Data",,,"tag",1,,"n","n",,"Leardini",
"0003, 0011",,,,,"is Analog Data",,"bool",1,,"y","y",,"Leardini","True indicate the data was Analog Data"
"0003, 0012",,,,,,"Sampling Frequency","real",1,,"y",,,"Leardini",
"0003, 0013",,,,,,"Number Of Analog Channels","integer",1,,"y","n",,"Leardini",
"0003, 0014",,,,,,"Number Of EMG Signals","integer",1,,"y","n",,"Leardini",
"0003, 0015",,,,,,"Motor Task","list",8,"static, level walking, stair raising/descending, stair raising, stair descending, chair (sit-to-stand), step, squatting","y","y",,"Leardini",
"0003, 0016",,,,,,"Side","list",3,"left, right, both","y","y",,"Leardini",
"0003, 0017",,,,,,"EMG System Brand","string",1,,"y","n",,"Leardini",
"0003, 0018",,,,,,"EMG System Model","string",1,,"y","n",,"Leardini",
"0003, 0019",,,,"Ground Reaction Force (GRF)",,,"tag",1,,"n","n",,"Leardini",
"0003, 0020",,,,,"is GRF",,"bool",1,,"y","y",,"Leardini","True indicate the data was GRF"
"0003, 0021",,,,,,"Sampling Frequency","real",1,,"y","n",,"Leardini",
"0003, 0022",,,,,,"Number Of Force Plates","integer",1,,"y","n",,"Leardini",
"0003, 0023",,,,,,"Motor Task","list",8,"static, level walking, stair raising/descending, stair raising, stair descending, chair (sit-to-stand), step, squatting","y","y",,"Leardini",
"0003, 0024",,,,,,"Side","list",3,"left, right, both","y","y",,"Leardini",
"0003, 0025",,,,,,"Force Plates Brand","string",1,,"y","n",,"Leardini",
"0003, 0026",,,,,,"Force Plate Model","string",1,,"y","n",,"Leardini",
