"NumTag","L1","L2","L3","L4","L5","L6","L7","L8","ValueType","Editable","Searchable","Value","IsPartOf","HasPart","AttachTo","ArticulateWith","Expert"
"0001, 0001","Functional anatomy",,,,,,,,"tag","n","n",,,,,,"Testi"
"0001, 0002",,"DictionaryURI",,,,,,,"URI","n","n","$HOME/FA_onto",,,,,"Testi"
"0001, 0003",,"DictionaryVersion",,,,,,,"date","n","n",,,,,,"Testi"
"0001, 0004",,"Anatomy",,,,,,,"bool","y","y","FALSE",,,,,"ULB"
"0001, 0005",,,"Body",,,,,,"bool","y","y","FALSE",,,,,"ULB"
"0001, 0006",,,,"Regions",,,,,"bool","y","y","FALSE",,,,,"ULB"
"0001, 0007",,,,,"Head",,,,"bool","y","y","FALSE",,,,,"ULB"
"0001, 0008",,,,,"Neck",,,,"bool","y","y","FALSE",,,,,"ULB"
"0001, 0009",,,,,"Thorax",,,,"bool","y","y","FALSE","LeftSerratoThoracic, RightSerratoThoracic",,,,"ULB"
"0001, 0010",,,,,"Back",,,,"bool","y","y","FALSE",,,,,"ULB"
"0001, 0011",,,,,"Abdomen",,,,"bool","y","y","FALSE",,,,,"ULB"
"0001, 0012",,,,,"LeftSpine",,,,"bool","y","y","FALSE","Back",,,,"ULB"
"0001, 0013",,,,,"RightSpine",,,,"bool","y","y","FALSE","Back",,,,"ULB"
"0001, 0014",,,,,"Pelvis",,,,"bool","y","y","FALSE",,,,,"ULB"
"0001, 0015",,,,,"LeftUpperLimb",,,,"bool","y","y","FALSE",,"LeftShoulder, LeftUpperArm, LeftForeArm, LeftHand",,,"ULB"
"0001, 0016",,,,,"RightUpperLimb",,,,"bool","y","y","FALSE",,"RightShoulder, RightUpperArm, RightForeArm, RightHand",,,"ULB"
"0001, 0017",,,,,"LeftShoulder",,,,"bool","y","y","FALSE","LeftUpperLimb",,,,"ULB"
"0001, 0018",,,,,"RightShoulder",,,,"bool","y","y","FALSE","RightUpperLimb",,,,"ULB"
