"NumTag","L1","L2","L3","L4","L5","L6","L7","L8","ValueType","Multiplicity","ValueList","Editable","Searchable","DefaultValue","Expert","Notes"
"0000, 0001","resource",,,,,,,,"tag",1,,"n","n",,"Viceconti","Root concept; everything stored on LHDL is a resource"
"0000, 0002",,"data",,,,,,,"tag",1,,"n","n",,"Viceconti","All resources stored on LHDL are data except for special cases"
"0000, 0003",,,"DataType",,,,,,"tag",1,,"n","n",,"Viceconti","All data are fields sampled over a geometry of given topology"
"0000, 0004",,,,"Field",,,,,"list",1,"None, Scalar, Vector, Tensor, n-scalar","n","y",,"Testi","Dimensionality of the field"
"0000, 0005",,,,"Dimension",,,,,"list",1,"Point, Curve, Surface, Volume","n","y",,"Testi","Dimensionality of sampling geometry"
"0000, 0006",,,,"VolumeType",,,,,"list",1,"Cartesian, Structured, Unstructured, B-Rep","n","y",,"Testi","Topology of the sampling geometry"
"0000, 0007",,,,"Timevarying",,,,,"bool",1,,"n","y",,"Testi","Indicates if the data resource is or not Timevarying"
"0000, 0008",,,"Size",,,,,,"tag",1,,"n","n",,"Viceconti","Info on the size of the dataset"
"0000, 0009",,,,"FileSize",,,,,"integer",1,,"n","y",,"Testi","size in byte of the dataset as serialised in the local file system"
"0000, 0010",,,,"EntityCount",,,,,"integer",1,,"n","n",,"Testi","number of primitives (points, lines, faces, or cells) in the dataset"
"0000, 0011",,,,"TimeFramesCount",,,,,"integer",1,,"n","y",,"Testi","number of time frames in the dataset"
"0000, 0012",,,"Dataset",,,,,,"tag",1,,"n","n",,"Viceconti","Info on the dataset digital representation"
"0000, 0013",,,,"DatasetURI",,,,,"URI",1,,"n","n",,"Quadrani","URI of the stored data object"
"0000, 0014",,,,"LocalFileCheckSum",,,,,"string",1,,"n","n",,"Testi","MD5 checksum of the dataset as serialised in the local file system"
"0000, 0015",,,,"UploadDate",,,,,"date",1,,"n","y",,"Quadrani","Date of upload of the dataset, creation date of the stored data object"
"0000, 0016",,,,"FileType",,,,,"tag",1,,"n","n",,"Quadrani","Info on the digital format of the stored data object"
"0000, 0017",,,,,"FileFormat",,,,"list",1,"VME, MSFz, Generic","y","y",,"Viceconti","Generic type is not recognised by the repository services"
"0000, 0018",,,,,"Endianity",,,,"list",1,"big, little","n","n",,"Quadrani","Endianity of the binary encoding"
"0000, 0019",,,,,"Encryption",,,,"bool",1,,"n","n",,"Quadrani","true indicate the dataset is encrypted with a private key"
"0000, 0020",,,"Tracebility",,,,,,"tag",1,,"n","n",,"Viceconti","Info to trace the history of creation and modifications of the dataset"
"0000, 0021",,,,"CreateEvent",,,,,"tag",1,,"n","n",,"Viceconti","Info on the creation of the dataset"
"0000, 0022",,,,,"Operation",,,,"string",1,,"n","n",,"Testi","Name of the OpCreate or OpImport, or of the Service Resource"
"0000, 0023",,,,,"CreationDate",,,,"date",1,,"n","n",,"Testi","Creation date"
"0000, 0024",,,,,"Application",,,,"string",1,,"n","y",,"Testi","MAF application stamp & version"
"0000, 0025",,,,,"OperatorID",,,,"integer",1,,"n","n",,"Testi","BT ID of the operator"
"0000, 0026",,,,,"IsNatural",,,,"bool",1,,"n","n",,"Testi","True indicates the data resource cannot be modified"
"0000, 0027",,,,"ModifyEvent1",,,,,"tag","n",,"n","n",,"Viceconti","Info on the modifications of the dataset"
"0000, 0028",,,,,"Operation",,,,"string",1,,"n","n",,"Testi","Name of the operation that modified the data resource"
"0000, 0029",,,,,"ModifyDate",,,,"date",1,,"n","n",,"Testi","Modification date"
"0000, 0030",,,,,"Application",,,,"string",1,,"n","y",,"Testi","MAF application stamp & version"
"0000, 0031",,,,,"OperatorID",,,,"integer",1,,"n","n",,"Testi","BT ID of the operator"
"0000, 0032",,,"Ownership",,,,,,"tag",1,,"n","n",,"Viceconti","Information on the owner of the resource"
"0000, 0033",,,,"OwnerID",,,,,"string",1,,"n","y",,"Testi","LHDL ID of the resource owner"
"0000, 0034",,,"Quality",,,,,,"tag",1,,"n","n",,"Viceconti","Scores attributed by the Quality Assurance Services to this resource"
