"L0000_resource_data_DataType" , "Automated Tag Not Handled (instance exists)"
"L0000_resource_data_DataType_Field" , "Automated Tag Not Handled (instance exists)"
"L0000_resource_data_DataType_Dimension" , "SURFACE"
"L0000_resource_data_DataType_VolumeType" , "NOT PRESENT"
"L0000_resource_data_DataType_Timevarying" , "0"
"L0000_resource_data_Size_EntityCount" , "Automated Tag Not Handled (instance exists)"
"L0000_resource_data_Size_TimeFramesCount" , "1"
"L0000_resource_data_Dataset_DatasetURI" , "Automated Tag Not Handled (instance exists)"
"L0000_resource_data_Dataset_LocalFileCheckSum" , "AA8FC5F5D584F60A96191B733DC51ABE"
"L0000_resource_data_Dataset_UploadDate" , "Automated Tag Not Handled (instance exists)"
"L0000_resource_data_Dataset_FileType" , "Automated Tag Not Handled (instance exists)"
"L0000_resource_data_Dataset_FileType_Endianity" , "Little Endian"
"L0000_resource_data_Dataset_FileType_Encryption" , "0"
"L0000_resource_data_Quality" , "Automated Tag Not Handled (instance exists)"
"L0000_resource_data_Quality_QualityScore1" , "Automated Tag Not Handled (instance exists)"
"L0000_resource_data_Source" , "NOT PRESENT"
"L0000_resource_MAF_TimeSpace_VMEabsoluteMatrixPose" , "1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 "
"L0000_resource_MAF_TimeSpace_TimeStampVector" , "0"
"L0000_resource_MAF_TreeInfo_VmeRootURI" , "Automated Tag Not Handled (instance exists)"
"L0000_resource_MAF_TreeInfo_VmeRootName" , "root"
"L0000_resource_MAF_TreeInfo_VmeChildURI1" , "Automated Tag Not Handled (instance exists)"
"L0000_resource_MAF_TreeInfo_VmeTreeCreationDate" , "Automated Tag Not Handled (instance exists)"
